entrezgene_id	Y100l2fc	PM100l2fc
3475	-1.246730046	-2.026325182
1352	-2.991901475	-2.846361336
9569	-2.183588649	-1.252743564
54623	-0.335939966	-1.243019329
27072	1.010023455	0.923708118
79602	0.088061118	-0.559488342
10942	1.531203882	1.431857945
57787	-0.943661759	-0.932577405
115098	1.322133287	1.616053678
90273	1.20674333	1.562820632
5048	-1.396099573	-1.967442186
9703	0.532208618	0.726084459
79090	1.580663677	1.804704072
4145	0.577291624	0.768639259
974	-1.277434809	-1.456599261
54879	0.067287631	0.738977882
113000	-1.441161809	-2.690661142
64285	0.575902465	1.248669907
55692	-0.739432687	-1.184602554
115939	0.769106516	0.54032523
9091	0.663391338	0.519160459
57585	-1.372878351	-1.61907086
7005	0.977660467	0.490513489
55735	-0.162068612	-0.704714275
29116	0.016726899	-0.833322297
1870	-1.745809084	-2.927310074
3720	-3.122925921	-2.506477211
57172	-1.552249018	-0.953187654
728642	0.584611643	0.082944589
9265	-0.180065394	-1.537868049
6856	0.770430474	1.323375407
1534	0.704274228	0.682569798
84954	0.951902997	0.92638971
4257	1.233593459	1.476636155
1407	-1.223419294	-1.222071285
4784	0.231511385	1.01314227
6482	-2.601847305	-2.206531884
64386	0.466704388	0.632582256
9235	1.231337606	0.545648016
9862	0.663611523	1.025260493
23221	-0.755580016	-1.485799108
54497	-1.436790699	-1.367177329
6224	1.65454364	1.780699256
7812	1.038325179	1.722238677
5980	-1.693487671	-0.407394637
80342	-0.158468503	-1.127796431
29954	0.542261582	1.146233098
51085	0.600654313	0.848200013
9031	-1.209138328	-1.521369639
10048	-1.166977336	-1.347337809
83932	-1.687522236	-2.797521647
51603	-1.771811486	-3.005170611
8798	0.665962339	0.740860388
7756	-0.951895265	-1.002114626
7384	0.825231997	1.084243495
928	1.109985667	1.454480172
9918	0.031739672	0.562470417
2696	0.500788555	1.975688052
51533	0.162012679	1.321789141
56920	3.133640599	2.319009471
11188	0.571293859	0.675245412
23166	0.965966083	1.111944316
80199	0.752829611	1.194675349
7752	-1.138171106	-1.942920133
920	1.066205181	1.442412107
10233	1.201874284	1.889041295
3077	1.071492115	1.338025544
22955	0.738357088	1.203680641
2534	-1.332728728	-0.172086336
3097	-2.861859412	-2.94980594
6924	-0.463757319	-0.593367193
11313	0.491974099	-0.080659802
1185	0.320949852	0.752332359
9902	1.108545957	1.483407428
6534	1.704677054	2.326744438
55727	-2.480615525	-2.007230798
51096	-0.744312534	-1.490088317
54476	-1.71778001	-1.207076801
9066	1.029550185	0.663914968
5329	0.557661067	-0.534887171
54443	-1.746853903	-0.610202145
54814	0.659398197	0.742352484
5536	0.52603853	0.472496004
23177	-1.892811518	-1.065957223
8491	-2.019368903	-1.328380573
7305	1.245923945	1.548315949
57146	0.308451499	1.448401959
2067	0.713905486	0.859234211
933	0.735729208	0.637675686
4057	-1.034525119	2.171711315
2137	-0.604078248	-0.796469872
60481	0.498708547	0.659166043
240	1.166456629	1.777396178
57658	0.712000293	1.059091875
55148	-0.158271542	-1.074618721
11183	-0.158117728	-0.885682646
23324	0.995773173	1.234856921
51629	1.256300019	1.246465249
5238	-0.342650817	-0.774056906
55703	-4.042902787	-2.710593379
50865	0.950285758	1.247438196
9052	-1.497750669	-3.710561087
10460	-0.720800367	-0.778271623
23376	-0.955039062	-1.704817728
23649	-0.501521613	-0.871400751
23144	-2.253976618	-0.755463829
823	0.759489222	0.718114498
55	1.048932232	1.004854745
4190	1.205994524	1.574253233
10903	0.228545952	1.503938986
1355	0.628870644	0.428907779
440193	-0.780585805	-0.760723732
10771	0.289944826	1.030428091
637	0.440370092	-0.039481905
9782	0.834677805	1.262151093
64132	0.237674154	0.949451894
84220	-1.130610713	-0.861344093
23386	-0.221016105	-0.785976631
27032	0.789170729	0.997016898
10928	0.717493514	1.213573783
22902	0.2976484	0.995150191
55622	-0.522716602	-1.351739829
23187	-1.108654144	-1.256872307
8685	1.587688873	1.230046304
56981	-1.910753196	-2.699534835
972	1.397477457	1.330135066
54764	-2.688224181	-2.883371156
25960	0.656093332	2.068245252
55734	-2.236444037	-2.12374347
4331	-1.8950426	-2.493705402
23034	-0.617494188	-0.509228027
864	-1.375243373	-1.613783837
11136	1.054647712	1.862377446
6683	-2.097335111	-1.993348422
